post_title,post_slug,post_status,post_type,post_category,post_content,post_address,city,region,zip,country,post_latitude,post_longitude,geodir_contact_phone,geodir_email,geodir_website,geodir_practice_name,street,geodir_license_type,geodir_license_number,geodir_license_state,geodir_license_verified,geodir_specializations,geodir_insurance_accepted,geodir_sliding_scale,geodir_price_range_min,geodir_price_range_max,geodir_session_length,geodir_telehealth,geodir_telehealth_platform,geodir_accepting_new_patients,geodir_wait_time,geodir_languages,geodir_therapy_approaches,geodir_age_groups_served,geodir_gender,geodir_years_experience,geodir_education,geodir_profile_image_url,geodir_google_rating,geodir_google_review_count,geodir_last_verified_date,geodir_data_source,geodir_enrichment_status
Relationship Counseling Center of Maryland,relationship-counseling-center-of-maryland-columbia-md,publish,gd_place,Therapist,"Relationship Counseling Center of Maryland in Columbia, MD. Specializes in ADHD, Anger Management, Anxiety, Child/Adolescent, Couples/Marriage. Telehealth available. Currently accepting new patients.","10705 Charter Dr #410, Columbia, MD 21044",Columbia,MD,21044,US,39.2115041,-76.8837612,(240) 295-3116,,http://rccmaryland.com,,10705 Charter Dr #410,,,MD,,"ADHD, Anger Management, Anxiety, Child/Adolescent, Couples/Marriage, Depression, Family, Grief, LGBTQ+, Life Transitions, Stress Management",,Unknown,165.0,195.0,,Yes - Video,Zoom,Yes,,,,,,,some new ways to speak and to listen to each other and to appreciate where the other was in their lives. The quality of counseling is excellent and th,,4.3,7,2026-02-18,outscraper,enriched_basic
Thriveworks Counseling & Psychiatry Annapolis,thriveworks-counseling-psychiatry-annapolis-annapolis-md,publish,gd_place,Therapist,"Thriveworks Counseling & Psychiatry Annapolis (MD/Psychiatrist) in Annapolis, MD. Specializes in ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder. Accepts Aetna, Anthem, Beacon Health and 7 more. Telehealth available.","2553 Housley Rd Suite 104, Annapolis, MD 21401",Annapolis,MD,21401,US,38.990441,-76.55141929999999,(410) 498-6595,,https://thriveworks.com/annapolis-counseling-coaching/%3Futm_source%3DGMBlisting%26utm_medium%3Dorganic%26field:8499441%3DGMB,,2553 Housley Rd Suite 104,MD/Psychiatrist,,MD,,"ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, Grief, LGBTQ+, PTSD/Trauma, Stress Management","Aetna, Anthem, Beacon Health, BlueCross BlueShield, Cigna, Humana, Medicare, Self-Pay Only, Tricare, UnitedHealthcare",Unknown,24.0,24.0,,Yes - Video,,Unknown,,,"CBT, DBT, EFT, EMDR, Mindfulness-Based, Motivational Interviewing, Narrative Therapy",,,,](https://thriveworks.com/annapolis-counseling-coaching/%3futm_source%3dgmblisting%26utm_medium%3dorganic%26field:8499441%3dgmb); ma & PTSD](https://thriveworks.com/find-help/trauma-ptsd-therapy/); ms ](https://thriveworks.com/privacy-policy-terms-use/),,4.7,59,2026-02-18,outscraper,enriched_full
Cedar Counseling & Wellness,cedar-counseling-wellness-annapolis-md,publish,gd_place,Therapist,"Cedar Counseling & Wellness in Annapolis, MD. Specializes in ADHD, Anxiety, Autism Spectrum, Child/Adolescent, Couples/Marriage.","170 Jennifer Rd Suite 200, Annapolis, MD 21401",Annapolis,MD,21401,US,38.9884067,-76.5413269,(443) 924-6344,,https://www.cedarcounselingandwellness.com,,170 Jennifer Rd Suite 200,,,MD,,"ADHD, Anxiety, Autism Spectrum, Child/Adolescent, Couples/Marriage, Depression, Grief, LGBTQ+, PTSD/Trauma, Perinatal/Postpartum",,Unknown,,,,Unknown,,Unknown,,,"CBT, EMDR",,,,"ma Therapy](https://www.cedarcounselingandwellness.com/trauma-therapy/); MD
## Your path to hope and healing; ms & Conditions of Use](https://www.cedarcounselingandwellness.com/terms-and-conditions/)",,5.0,8,2026-02-18,outscraper,enriched_basic
Serenity Counseling and Consulting LLC,serenity-counseling-and-consulting-llc-odenton-md,publish,gd_place,Therapist,"Serenity Counseling and Consulting LLC in Odenton, MD. Specializes in Family, PTSD/Trauma.","1177 Annapolis Rd, Odenton, MD 21113",Odenton,MD,21113,US,39.0811709,-76.69034359999999,(443) 962-2479,,https://serenitycounselingmd.com/index.php/about-us,,1177 Annapolis Rd,,,MD,,"Family, PTSD/Trauma",,Unknown,,,,Unknown,,Unknown,,,"CBT, Motivational Interviewing, Solution-Focused",,,,"working with families who have experienced multiple family trauma. she has a great passion for assisting the emerging adult population navigate the uncertain transitions into adulthood. overall, she w; s in both computer and information technology and psychology from the university of maryland global campus and her ma degree in counseling psychology from bowie state university. as she brings a uniqu; ma. She has a great passion for assisting the emerging adult population navigate the uncertain transitio",,5.0,1,2026-02-18,outscraper,enriched_basic
Maryland Couples Counseling,maryland-couples-counseling-pikesville-md,publish,gd_place,Therapist,"Maryland Couples Counseling in Pikesville, MD. Specializes in Addiction, Child/Adolescent, Couples/Marriage, Family, Stress Management. Telehealth available.","8 Reservoir Cir, Pikesville, MD 21208",Pikesville,MD,21208,US,39.3880237,-76.7326166,(443) 939-4540,,http://www.marylandcouplescounseling.com,,8 Reservoir Cir,,,MD,,"Addiction, Child/Adolescent, Couples/Marriage, Family, Stress Management",,Unknown,,,,Yes - Video,,Unknown,,,,,,,,,4.2,10,2026-02-18,outscraper,enriched_basic
Therapy Connect NYC,therapy-connect-nyc-new-york-ny,publish,gd_place,Therapist,"Therapy Connect NYC (MD/Psychiatrist) in New York, NY. Specializes in ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent. Accepts Horizon BCBS. Telehealth available.","80 8Th Ave #711, New York, Ny 10011",New York,NY,10011,US,40.7397114,-74.0020184,(917) 765-8579,,http://www.therapyconnectnyc.com,,80 8th Ave #711,MD/Psychiatrist,,NY,,"ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent, Depression, Family, Grief, Life Transitions, PTSD/Trauma, Sleep Issues, Stress Management",Horizon BCBS,Unknown,,,,Yes - Video,,Unknown,,,"EMDR, Mindfulness-Based, Psychodynamic",,,,ms are effectively treated by balancing neurochemicals in your body with safe and well researched medic,,4.7,32,2026-02-18,outscraper,enriched_full
Lukin Center for Psychotherapy,lukin-center-for-psychotherapy-hoboken-nj,publish,gd_place,Therapist,"Lukin Center for Psychotherapy (MD/Psychiatrist) in Hoboken, NJ. Specializes in ADHD, Addiction, Anger Management, Anxiety, Child/Adolescent. Accepts Beacon Health. Telehealth available.","80 River St #302, Hoboken, Nj 07030",Hoboken,NJ,07030,US,40.7361944,-74.02940629999999,(201) 824-2692,,https://www.lukincenter.com/%3Futm_source%3Dgbp_listing%26utm_medium%3Dorganic%26utm_campaign%3Dhoboken,,80 River St #302,MD/Psychiatrist,,NJ,,"ADHD, Addiction, Anger Management, Anxiety, Child/Adolescent, Chronic Illness, Couples/Marriage, Depression, Eating Disorders, Family, Grief, LGBTQ+, Life Transitions, OCD, PTSD/Trauma, Perinatal/Postpartum, Personality Disorders, Self-Harm, Stress Management",Beacon Health,Unknown,,,,Yes - Video,Zoom,Unknown,,Mandarin,"ACT, Art Therapy, CBT, DBT, EFT, EMDR, Mindfulness-Based, Motivational Interviewing, Play Therapy",,,,s ](https://www.lukincenter.com/about/clinician-trainings/); center](https://www.lukincenter.com/professionals/training-center/); for athletes: lukin center’s sport and performance program](https://www.lukincenter.com/mental-performance-training-athletes-nj/),,4.9,31,2026-02-18,outscraper,enriched_full
Integrative Psych | Mental Health & Psychiatry,integrative-psych-mental-health-psychiatry-manhattan-ny,publish,gd_place,Therapist,"Integrative Psych | Mental Health & Psychiatry (MD/Psychiatrist) in Manhattan, NY. Specializes in ADHD, Addiction, Anxiety, Autism Spectrum, Child/Adolescent. Accepts Kaiser Permanente, Out-of-Network. Currently accepting new patients.","80 8Th Ave, Manhattan, Ny 10011",Manhattan,NY,10011,US,40.7398282,-74.0020558,(646) 893-8935,,https://www.integrative-psych.org,,80 8th Ave,MD/Psychiatrist,,NY,,"ADHD, Addiction, Anxiety, Autism Spectrum, Child/Adolescent, Depression, Eating Disorders, LGBTQ+, Life Transitions, OCD, PTSD/Trauma","Kaiser Permanente, Out-of-Network",Unknown,,,,Unknown,,Yes,,,"CBT, DBT, EMDR",,,,ms Of Use](https://www.integrative-psych.org/legal/terms-of-use)[Privacy Policy](https://www.integrativ,,5.0,90,2026-02-18,outscraper,enriched_full
"Julia Rabinovich, LMFT",julia-rabinovich-lmft-new-york-ny,publish,gd_place,Therapist,"Julia Rabinovich, LMFT (PhD) in New York, NY. Specializes in Anger Management, Anxiety, Child/Adolescent, Couples/Marriage, Family. Currently accepting new patients.","101 6Th Ave Floor 8, New York, Ny 10013",New York,NY,10013,US,40.7234213,-74.00545319999999,(917) 725-2417,,https://thrivingcenterofpsych.com/therapists/julia-rabinovich-lmft,,101 6th Ave Floor 8,PhD,,NY,,"Anger Management, Anxiety, Child/Adolescent, Couples/Marriage, Family, Life Transitions, OCD",,Unknown,,,,Unknown,,Yes,,English,"ACT, CBT, DBT",,,,ms & Conditions ](https://thrivingcenterofpsych.com/terms-conditions/),,5.0,5,2026-02-18,outscraper,enriched_basic
Mindful Care Psychiatry and Therapy,mindful-care-psychiatry-and-therapy-hoboken-nj,publish,gd_place,Therapist,"Mindful Care Psychiatry and Therapy (MD/Psychiatrist) in Hoboken, NJ.","221 River St, Hoboken, Nj 07030",Hoboken,NJ,07030,US,40.7386626,-74.0277255,(516) 505-7200,,https://www.mindful.care/office-locations/hoboken-hoboken-nj%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dhoboken,,221 River St,MD/Psychiatrist,,NJ,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,4.2,156,2026-02-18,outscraper,enriched_basic
Creelman Monica MD,creelman-monica-md-new-york-ny,publish,gd_place,Therapist,"Creelman Monica MD (PhD) in New York, NY.","100 Crosby St Suite 510, New York, Ny 10012",New York,NY,10012,US,40.7238876,-73.9976186,(212) 924-8937,,,,100 Crosby St suite 510,PhD,,NY,,,,,,,,,,,,,,,,,,,5.0,2,2026-02-18,outscraper,cleaned
Gundle Sarah S,gundle-sarah-s-new-york-ny,publish,gd_place,Therapist,"Gundle Sarah S (PhD) in New York, NY. Specializes in Stress Management.","450 W 24Th St # 1F, New York, Ny 10011",New York,NY,10011,US,40.7477246,-74.0026584,(646) 256-9233,,http://sarahgundlepsyd.com,,450 W 24th St # 1f,PhD,,NY,,Stress Management,,Unknown,,,,Unknown,,Unknown,,,Narrative Therapy,,,,", training, and teaching](https://www.sarahgundlepsyd.com/education-training-and-teaching)",,4.6,9,2026-02-18,outscraper,enriched_basic
"Brian Buggie, MD",brian-buggie-md-new-york-ny,publish,gd_place,Therapist,"Brian Buggie, MD (MD/Psychiatrist) in New York, NY. Specializes in ADHD, Addiction, Anxiety, Bipolar Disorder, Couples/Marriage. Accepts Kaiser Permanente, Out-of-Network. Telehealth available.","445 W 23Rd St Suite 1Ee, New York, Ny 10011",New York,NY,10011,US,40.7473977,-74.0029218,(646) 580-8839,,https://www.brianbuggie.com,,445 W 23rd St Suite 1EE,MD/Psychiatrist,,NY,,"ADHD, Addiction, Anxiety, Bipolar Disorder, Couples/Marriage, Depression, Eating Disorders, Grief, Life Transitions, OCD, PTSD/Trauma, Personality Disorders, Sleep Issues, Stress Management","Kaiser Permanente, Out-of-Network",Unknown,200.0,500.0,,Yes - Video,Zoom,Unknown,,,,,,,"](https://brian-buggie-md.square.site/product/neuropsychological-testing-training-x-1-month/13); in biological anthropology & then earned his doctor of medicine degree from the [university of new mexico school of medicine](http://som.unm.edu/). he completed his [psychiatry residency](https://icah; /residencies-fellowships/list/msw-msm-psychiatry-residency) at [st. luke’s-roosevelt hospital](http://www.stlukeshospitalnyc.org/), a member of the [mount sinai health system](http://www.mountsinaihea",,4.3,25,2026-02-18,outscraper,enriched_full
"Rennicke and Associates - Therapy for Children, Teens and Adults",rennicke-and-associates-therapy-for-children-teens-and-adults-new-york-ny,publish,gd_place,Therapist,"Rennicke and Associates - Therapy for Children, Teens and Adults (PhD) in New York, NY. Specializes in Anger Management, Child/Adolescent, Couples/Marriage, Family, LGBTQ+. Telehealth available.","80 University Pl, New York, Ny 10003",New York,NY,10003,US,40.7335282,-73.99350179999999,(212) 337-3565,,https://rennickeassociates.com,,80 University Pl,PhD,,NY,,"Anger Management, Child/Adolescent, Couples/Marriage, Family, LGBTQ+, Life Transitions",,Unknown,,,,Yes - Video,,Unknown,,,EFT,,,,"how to really listen, understand, and support each other. Now, our relationship feels stronger, built on trust and open communication.”; how to have meaningful conversations, celebrate their story, and provide the reassurance they need to feel secure in who they are. Seeing them grow in; Ph.D.
## Director",,5.0,3,2026-02-18,outscraper,enriched_basic
"Dr. Anthony Termine, MD",dr-anthony-termine-md-new-york-ny,publish,gd_place,Therapist,"Dr. Anthony Termine, MD (MD/Psychiatrist) in New York, NY. Specializes in Child/Adolescent, PTSD/Trauma. Currently accepting new patients.","177 Prince St Suite# 203, New York, Ny 10012",New York,NY,10012,US,40.7265146,-74.0017635,(212) 343-3040,,https://www.anthonytermine.com,,177 Prince St Suite# 203,MD/Psychiatrist,,NY,,"Child/Adolescent, PTSD/Trauma",,Unknown,,,,Unknown,,Yes,,,Somatic,,,,"and offers constructive feedback in his psychotherapy nyc office. as one of the best psychiatrists in nyc, dr. termine’s main goal is to provide a thorough evaluation and a comprehensive treatment pla; from suny downstate college of medicine after completing his degree in psychology from new york university. his residency training, obtained at hillside hospital, and fellowship training at beth israe; his medical degree from SUNY Downstate College of Medicine after completing his degree in Psychology from New York University. His residency training",,4.5,21,2026-02-18,outscraper,enriched_basic
"Rebecca Harrington, DSW",rebecca-harrington-dsw-new-york-ny,publish,gd_place,Therapist,"Rebecca Harrington, DSW in New York, NY.","420 W 24Th St Suite 1A, New York, Ny 10011",New York,NY,10011,US,40.7473279,-74.0017728,(212) 675-9041,,http://www.rebeccaharrington.com,,420 W 24th St Suite 1A,,,NY,,,,Unknown,,,,Unknown,,Unknown,,,Psychodynamic,,,,,,,0,2026-02-18,outscraper,enriched_basic
"Jessica Gorgo, DO",jessica-gorgo-do-new-york-ny,publish,gd_place,Therapist,"Jessica Gorgo, DO (MD/Psychiatrist) in New York, NY. Specializes in ADHD, Anxiety, Bipolar Disorder, Couples/Marriage, Depression. Accepts Out-of-Network. Telehealth available.","450 W 24Th St #1B, New York, Ny 10011",New York,NY,10011,US,40.7477246,-74.0026584,(646) 397-8494,,http://jessicagorgo.com,,450 W 24th St #1b,MD/Psychiatrist,,NY,,"ADHD, Anxiety, Bipolar Disorder, Couples/Marriage, Depression, Eating Disorders, Family, Grief, Life Transitions, OCD, Perinatal/Postpartum, Sleep Issues, Stress Management",Out-of-Network,Unknown,350.0,500.0,,Yes - Video,Zoom,Unknown,,,,,,,"in biology & then earned her doctor of osteopathic medicine degree from the [philadelphia college of osteopathic medicine](https://www.pcom.edu/academics/programs-and-degrees/doctor-of-osteopathic-med; with honors from [Rutgers University](https://www.rutgers.edu/) with a Bachelor of Science degree in biology & then earned her Doctor of Osteopathic M; her [psychiatry residency](http://www.slrpsychiatry.org/#!home/c2df) at [St. Luke’s-Roosevelt Hospital](http://www.stlukeshospitalnyc.org/), a member",,4.5,8,2026-02-18,outscraper,enriched_full
"Antoine Adam, MD, Psychiatrist",antoine-adam-md-psychiatrist-new-york-ny,publish,gd_place,Therapist,"Antoine Adam, MD, Psychiatrist (MD/Psychiatrist) in New York, NY. Specializes in ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent.","11 5Th Ave, New York, Ny 10003",New York,NY,10003,US,40.7324679,-73.9958511,(212) 254-4455,,http://www.klein-kraepelin.com,,11 5th Ave,MD/Psychiatrist,,NY,,"ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent, Chronic Illness, Depression, Family, OCD, Sleep Issues",,Unknown,,,,Unknown,,Unknown,,,"Humanistic, Psychodynamic",,,,"transformed my life. The team's expertise and genuine compassion created a safe space for healing I didn't think was possible.""; ms. We help patients create lasting change through a strong therapeutic alliance and evidence-based care; MS LMHC](https://www.klein-kraepelin.com/assets/jennifer-sadler-v2-C-fhXivz.jpg)",,4.9,314,2026-02-18,outscraper,enriched_basic
Freudenthal Gideon MD,freudenthal-gideon-md-new-york-ny,publish,gd_place,Therapist,"Freudenthal Gideon MD (PhD) in New York, NY.","52 W 12Th St, New York, Ny 10011",New York,NY,10011,US,40.7353019,-73.9965133,(212) 989-9728,,,,52 W 12th St,PhD,,NY,,,,,,,,,,,,,,,,,,,5.0,1,2026-02-18,outscraper,cleaned
Emily Watts MD,emily-watts-md-new-york-ny,publish,gd_place,Therapist,"Emily Watts MD (MD/Psychiatrist) in New York, NY. Specializes in Anxiety, Child/Adolescent, Depression, Perinatal/Postpartum, Sleep Issues. Currently accepting new patients.","302A W 12Th St #234, New York, Ny 10014",New York,NY,10014,US,40.7373811,-74.0046504,(929) 260-2064,,http://emilywattsmd.com,,302A W 12th St #234,MD/Psychiatrist,,NY,,"Anxiety, Child/Adolescent, Depression, Perinatal/Postpartum, Sleep Issues, Stress Management",,Unknown,,,,Unknown,,Yes,,,Mindfulness-Based,,,,"), nutrition, exercise and mindfulness-based practices. she also teaches residents and fellows at the nyu school of medicine in the department of psychiatry; MD
**PSYCHIATRY**; ms and Conditions](https://www.emilywattsmd.com/terms-and-conditions)",,,0,2026-02-18,outscraper,enriched_basic
Optum Behavioral Health - Hoboken,optum-behavioral-health-hoboken-hoboken-nj,publish,gd_place,Therapist,"Optum Behavioral Health - Hoboken (MD/Psychiatrist) in Hoboken, NJ.","1425 Bloomfield St, Hoboken, Nj 07030",Hoboken,NJ,07030,US,40.7539651,-74.026428,(201) 863-3346,,,,1425 Bloomfield St,MD/Psychiatrist,,NJ,,,,,,,,,,,,,,,,,,,1.8,114,2026-02-18,outscraper,cleaned
