post_title,post_slug,post_status,post_type,post_category,post_content,post_address,city,region,zip,country,post_latitude,post_longitude,geodir_contact_phone,geodir_email,geodir_website,geodir_practice_name,street,geodir_license_type,geodir_license_number,geodir_license_state,geodir_license_verified,geodir_specializations,geodir_insurance_accepted,geodir_sliding_scale,geodir_price_range_min,geodir_price_range_max,geodir_session_length,geodir_telehealth,geodir_telehealth_platform,geodir_accepting_new_patients,geodir_wait_time,geodir_languages,geodir_therapy_approaches,geodir_age_groups_served,geodir_gender,geodir_years_experience,geodir_education,geodir_profile_image_url,geodir_google_rating,geodir_google_review_count,geodir_last_verified_date,geodir_data_source,geodir_enrichment_status
Genesis Psychiatric Solutions,genesis-psychiatric-solutions-fairfax-va,publish,gd_place,Therapist,"Genesis Psychiatric Solutions (MD/Psychiatrist) in Fairfax, VA. Specializes in ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent. Accepts Kaiser Permanente. Telehealth available.","10339 Democracy Ln A, Fairfax, VA 22030",Fairfax,VA,22030,US,38.8493226,-77.3005877,(571) 748-4971,,http://www.genesispsychiatricsolutions.com,,10339 Democracy Ln A,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent, Depression, Family, OCD, PTSD/Trauma, Stress Management",Kaiser Permanente,Unknown,,,,Yes - Video,,Unknown,,,,,,,ma and Stressor Related Disorders ](https://www.genesispsychiatricsolutions.com/services/trauma-and-str; ms of stress and mental health issues; ms. Treatment options focus on holistic healing practices,,4.9,72,2026-02-18,outscraper,enriched_full
Mantra Mental Health,mantra-mental-health-tysons-va,publish,gd_place,Therapist,"Mantra Mental Health in Tysons, VA. Specializes in ADHD, Anger Management, Anxiety, Depression, Life Transitions. Telehealth available.","2220 Cedar Ln Suite 100, Tysons, VA 22182",Tysons,VA,22182,US,38.9009577,-77.2247599,(571) 368-6654,,https://www.mantramentalhealth.com,,2220 Cedar Ln Suite 100,,,VA,,"ADHD, Anger Management, Anxiety, Depression, Life Transitions, Stress Management",,Unknown,,,,Yes - Video,,Unknown,,,"CBT, Mindfulness-Based",,,,"and the clients needs. she never cuts appointments short, and actually remembers previous conversations. i would have stayed with her, had i not moved to a different state.""; , board certifications, and years of clinical experience with a compassionate, patient-centered approach in a boutique practice setting; medical degree (md) & master of public health (mph)",,5.0,19,2026-02-18,outscraper,enriched_basic
Northern Virginia Psychiatric Group,northern-virginia-psychiatric-group-fairfax-va,publish,gd_place,Therapist,"Northern Virginia Psychiatric Group (MD/Psychiatrist) in Fairfax, VA. Specializes in ADHD, Anger Management, Anxiety, Depression, Family. Accepts CareFirst, Medicare. Currently accepting new patients.","8500 Executive Park Ave Ste 200, Fairfax, VA 22031",Fairfax,VA,22031,US,38.8676054,-77.23784409999999,(703) 698-5220,,https://www.novapsy.com,,8500 Executive Park Ave STE 200,MD/Psychiatrist,,VA,,"ADHD, Anger Management, Anxiety, Depression, Family, OCD, PTSD/Trauma, Perinatal/Postpartum, Sleep Issues","CareFirst, Medicare",Unknown,,,,Unknown,,Yes,,,EMDR,,,,"MD  

Psychiatry; MD  

Adult Psychiatry; Psy.D.  

Psychiatry",,4.4,200,2026-02-18,outscraper,enriched_full
Rivia Mind,rivia-mind-manhattan-ny,publish,gd_place,Therapist,"Rivia Mind (MD/Psychiatrist) in Manhattan, NY. Specializes in ADHD, Anger Management, Anxiety, Couples/Marriage, Eating Disorders. Accepts Out-of-Network, Self-Pay Only. Telehealth available.","274 Madison Ave Rm 1501, Manhattan, Ny 10016",Manhattan,NY,10016,US,40.7513478,-73.9805538,(212) 203-1773,,https://www.riviamind.com,,274 Madison Ave Rm 1501,MD/Psychiatrist,,NY,,"ADHD, Anger Management, Anxiety, Couples/Marriage, Eating Disorders, PTSD/Trauma, Stress Management","Out-of-Network, Self-Pay Only",Unknown,,,,Yes - Video,,Waitlist,,,DBT,,,,"ba Headshot](https://riviamind.com/)](https://riviamind.com/provider/louis-luba/); ba
##  Therapist; Ms. Scarlatella’s guidance",,4.5,252,2026-02-18,outscraper,enriched_full
Family Psychiatry and Therapy,family-psychiatry-and-therapy-union-city-nj,publish,gd_place,Therapist,"Family Psychiatry and Therapy (MD/Psychiatrist) in Union City, NJ. Specializes in ADHD, Anxiety, Bipolar Disorder, Child/Adolescent, Couples/Marriage. Accepts Aetna, Kaiser Permanente. Telehealth available. Currently accepting new patients.","314 48Th St, Union City, Nj 07087",Union City,NJ,07087,US,40.7812078,-74.0203871,,,http://www.familypsychnj.com,,314 48th St,MD/Psychiatrist,,NJ,,"ADHD, Anxiety, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, Grief, Life Transitions, PTSD/Trauma, Perinatal/Postpartum, Sleep Issues","Aetna, Kaiser Permanente",Unknown,,,,Yes - Video,,Yes,,,,,,,"ms (EAP)](https://familypsychnj.com/who-we-help/employee-assistance-eap/); ms.
We understand that healing can come in many forms. Family Psychiatry & Therapy is an evidence-based; ms that interfere with your work and personal life",,5.0,1,2026-02-18,outscraper,enriched_full
"Virginia Goldner, PhD",virginia-goldner-phd-new-york-ny,publish,gd_place,Therapist,"Virginia Goldner, PhD (PhD) in New York, NY. Specializes in Couples/Marriage, Family, LGBTQ+.","102 E 22Nd St, New York, Ny 10010",New York,NY,10010,US,40.7391206,-73.98642339999999,(646) 594-7463,,http://virginiagoldner.com,,102 E 22nd St,PhD,,NY,,"Couples/Marriage, Family, LGBTQ+",,Unknown,,,,Unknown,,Unknown,,,Psychodynamic,,,,"-areas/clinical-psychology-@-city-college), and is also an emeritus faculty at the [ackerman institute of the family](http://www.ackerman.org/); awards for her distinguished contributions to these fields by the [American Family Therapy Academy](https://afta.org/), and by Division 39 of the [Ame; PhD  
Psychoanalyst / Couples Therapist",,3.0,2,2026-02-18,outscraper,enriched_basic
"Anna Yusim, MD",anna-yusim-md-new-york-ny,publish,gd_place,Therapist,"Anna Yusim, MD (MD/Psychiatrist) in New York, NY. Specializes in Anger Management, Anxiety, Depression, Family, PTSD/Trauma.","141 E 35Th St Suite J, New York, Ny 10016",New York,NY,10016,US,40.747011,-73.9787015,(917) 727-9437,,https://annayusim.com,,141 E 35th St Suite J,MD/Psychiatrist,,NY,,"Anger Management, Anxiety, Depression, Family, PTSD/Trauma, Sleep Issues, Stress Management",,Unknown,,,,Unknown,,Unknown,,,"Humanistic, Mindfulness-Based, Psychodynamic, Somatic",,,,"program, dr. yusim felt that something was missing from her life. in her quest to find it, she traveled, lived, and worked in over 70 countries, while studying kabbalah, learning buddhist meditation; (apire) janssen research award, the seed research grant from the american medical association, first prize in the sermo resident challenge, the carta fellowship from the world psychiatric association; MD
Stanford and Yale Educated Board-Certified",,4.8,25,2026-02-18,outscraper,enriched_basic
The Ross Center,the-ross-center-new-york-ny,publish,gd_place,Therapist,"The Ross Center (MD/Psychiatrist) in New York, NY. Specializes in ADHD, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent. Accepts Out-of-Network. Telehealth available. Currently accepting new patients.","57 W 57Th St #507, New York, Ny 10019",New York,NY,10019,US,40.7643585,-73.976817,(212) 337-0600,,https://www.rosscenter.com,,57 W 57th St #507,MD/Psychiatrist,,NY,,"ADHD, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Chronic Illness, Couples/Marriage, Depression, Family, Life Transitions, OCD, PTSD/Trauma, Sleep Issues, Stress Management",Out-of-Network,Unknown,,,,Yes - Video,Zoom,Yes,,,"ACT, CBT, DBT",,,,](https://www.rosscenter.com/); ](https://www.rosscenter.com/services/parent-consultation-training/); /parent-child-interaction-therapy/),,4.6,9,2026-02-18,outscraper,enriched_full
Monte Nido Manhattan,monte-nido-manhattan-new-york-ny,publish,gd_place,Therapist,"Monte Nido Manhattan in New York, NY.","437 5Th Ave 8Th Floor, New York, Ny 10016",New York,NY,10016,US,40.7513674,-73.9821582,(646) 833-7325,,https://www.montenido.com/locations/new-york-manhattan%3Futm_source%3Dgmb_local%26utm_medium%3Dorganic%26utm_campaign%3Dny-day,,437 5th Ave 8th floor,,,NY,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,3.2,12,2026-02-18,outscraper,enriched_basic
"Dr. Aykut Ozden, MD",dr-aykut-ozden-md-edgewater-nj,publish,gd_place,Therapist,"Dr. Aykut Ozden, MD (MD/Psychiatrist) in Edgewater, NJ. Specializes in ADHD, Addiction, Anger Management, Child/Adolescent, Depression. Telehealth available.","4 Main St N-130, Edgewater, Nj 07020",Edgewater,NJ,07020,US,40.8037234,-73.99196549999999,(201) 220-5868,,http://www.bridge2wellness.net,,4 Main St N-130,MD/Psychiatrist,,NJ,,"ADHD, Addiction, Anger Management, Child/Adolescent, Depression",,Unknown,,,,Yes - Video,Zoom,Unknown,,,,,,,ms of Use(opens in new tab)](https://www.treatspace.com/company/security-and-terms/terms-of-use/),,4.8,23,2026-02-18,outscraper,enriched_basic
"Barry M. Grossman, MD",barry-m-grossman-md-new-york-ny,publish,gd_place,Therapist,"Barry M. Grossman, MD (MD/Psychiatrist) in New York, NY. Specializes in Family.","171 Delancey St 2Nd Floor, New York, Ny 10002",New York,NY,10002,US,40.7172046,-73.9856726,(929) 455-2600,,https://nyulangone.org/doctors/1548292592/barry-m-grossman%3Fcid%3Dsyn_yext%26y_source%3D1_MTYyOTAyODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,,171 Delancey St 2nd Floor,MD/Psychiatrist,,NY,,Family,,Unknown,,,,Unknown,,Unknown,,,,,,,,,4.1,13,2026-02-18,outscraper,enriched_basic
Va Medical Center-Manhattan: Cressman Victoria L MD,va-medical-center-manhattan-cressman-victoria-l-md-new-york-ny,publish,gd_place,Therapist,"Va Medical Center-Manhattan: Cressman Victoria L MD (MD/Psychiatrist) in New York, NY.","423 E 23Rd St, New York, Ny 10010",New York,NY,10010,US,40.7364685,-73.9769477,(212) 686-7500,,http://www.nyharbor.va.gov,,423 E 23rd St,MD/Psychiatrist,,NY,,,,Unknown,67.0,67.0,,Unknown,,Unknown,,,,,,,ms are deeply experienced and guided by the needs of Veterans,,,0,2026-02-18,outscraper,enriched_basic
"Mental Health Counseling Pathways, PLLC",mental-health-counseling-pathways-pllc-long-island-city-ny,publish,gd_place,Therapist,"Mental Health Counseling Pathways, PLLC in Long Island City, NY. Accepts Aetna, BlueCross BlueShield, Cigna and 2 more.","11-11 44Th Dr, Long Island City, Ny 11106",Long Island City,NY,11106,US,40.7486085,-73.9487487,(917) 300-9949,,https://www.mhcpathways.com,,11-11 44th Dr,,,NY,,,"Aetna, BlueCross BlueShield, Cigna, Oxford Health, UnitedHealthcare",Unknown,150.0,150.0,,Unknown,,Unknown,,"English, Spanish",,,,,"ms.
  * [![Instagram](https://static.wixstatic.com/media/8d6893330740455c96d218258a458aa4.png/v1/fill/w_39",,5.0,42,2026-02-18,outscraper,enriched_full
Thrive Mind Psychiatry,thrive-mind-psychiatry-brooklyn-ny,publish,gd_place,Therapist,"Thrive Mind Psychiatry (MD/Psychiatrist) in Brooklyn, NY. Specializes in Child/Adolescent, PTSD/Trauma, Stress Management.","760 Bergen St, Brooklyn, Ny 11238",Brooklyn,NY,11238,US,40.6782562,-73.9631426,(646) 906-8703,,https://www.thrivemindpsychiatry.com,,760 Bergen St,MD/Psychiatrist,,NY,,"Child/Adolescent, PTSD/Trauma, Stress Management",,Unknown,,,,Unknown,,Unknown,,,"ACT, Somatic",,,,ma on the nervous system and help you access a calmer baseline. Through structured practices that suppo,,5.0,2,2026-02-18,outscraper,enriched_basic
"Virginia S. Rachmani, LCSW",virginia-s-rachmani-lcsw-new-york-ny,publish,gd_place,Therapist,"Virginia S. Rachmani, LCSW (LCSW) in New York, NY.","50 E 89Th St, New York, Ny 10128",New York,NY,10128,US,40.78229,-73.9568766,(212) 996-9000,,,,50 E 89th St,LCSW,,NY,,,,,,,,,,,,,,,,,,,3.7,3,2026-02-18,outscraper,cleaned
Charlottesville Psychiatry PLLC,charlottesville-psychiatry-pllc-charlottesville-va,publish,gd_place,Therapist,"Charlottesville Psychiatry PLLC (MD/Psychiatrist) in Charlottesville, VA. Specializes in ADHD, Anxiety, Bipolar Disorder, Depression, OCD. Currently accepting new patients.","175 S Pantops Dr Ste 303, Charlottesville, VA 22911",Charlottesville,VA,22911,US,38.0305389,-78.4525805,(434) 328-8787,,https://cvillepsychiatry.com,,175 S Pantops Dr STE 303,MD/Psychiatrist,,VA,,"ADHD, Anxiety, Bipolar Disorder, Depression, OCD, PTSD/Trauma, Sleep Issues",,Unknown,,,,Unknown,,Yes,,,"Psychodynamic, Somatic",,,,ms (physical manifestations of emotions); ma therapy and psychodynamic therapy,,3.6,5,2026-02-18,outscraper,enriched_basic
Holisticare Behavioral Health Services,holisticare-behavioral-health-services-alexandria-va,publish,gd_place,Therapist,"Holisticare Behavioral Health Services (MD/Psychiatrist) in Alexandria, VA. Specializes in ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder. Accepts Anthem, Behavioral Health Systems, Medicaid and 1 more. Telehealth available.","8101 Hinson Farm Rd #214, Alexandria, VA 22306",Alexandria,VA,22306,US,38.7371938,-77.0787169,(703) 386-6899,,https://holisticarehealthservices.com,,8101 Hinson Farm Rd #214,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder, Depression, PTSD/Trauma, Stress Management","Anthem, Behavioral Health Systems, Medicaid, UnitedHealthcare",Unknown,,,,Yes - Video,,Unknown,,,,,,,", and medication to improve focus and self-control; ms include inattention; ms and improve well-being",,5.0,26,2026-02-18,outscraper,enriched_full
Upper West Side Psychiatry,upper-west-side-psychiatry-new-york-ny,publish,gd_place,Therapist,"Upper West Side Psychiatry (MD/Psychiatrist) in New York, NY.","5 W 86Th St, New York, Ny 10024",New York,NY,10024,US,40.78562,-73.969736,(646) 954-2400,,https://www.uwspsychiatry.nyc/contact,,5 W 86th St,MD/Psychiatrist,,NY,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,5.0,1,2026-02-18,outscraper,enriched_basic
Dr. Gagandeep Khurana,dr-gagandeep-khurana-alexandria-va,publish,gd_place,Therapist,"Dr. Gagandeep Khurana (MD/Psychiatrist) in Alexandria, VA. Specializes in ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder. Accepts Anthem, Behavioral Health Systems, Medicaid and 1 more. Telehealth available.","8101 Hinson Farm Rd #214, Alexandria, VA 22306",Alexandria,VA,22306,US,38.7371938,-77.0787169,(703) 386-6899,,https://holisticarehealthservices.com,,8101 Hinson Farm Rd #214,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anger Management, Anxiety, Bipolar Disorder, Depression, PTSD/Trauma, Stress Management","Anthem, Behavioral Health Systems, Medicaid, UnitedHealthcare",Unknown,,,,Yes - Video,,Unknown,,,,,,,", and medication to improve focus and self-control; ms include inattention; ms and improve well-being",,4.7,64,2026-02-18,outscraper,enriched_full
Neurotherapeutix Medical Services,neurotherapeutix-medical-services-new-york-ny,publish,gd_place,Therapist,"Neurotherapeutix Medical Services (MD/Psychiatrist) in New York, NY. Specializes in ADHD, Addiction, Anxiety, Autism Spectrum, Bipolar Disorder.","171 E 74Th St Unit 1-1, New York, Ny 10021",New York,NY,10021,US,40.7714669,-73.9601139,(917) 388-3090,,https://neurotherapeutixnyc.com/%3Futm_campaign%3Dgmb,,171 E 74th St Unit 1-1,MD/Psychiatrist,,NY,,"ADHD, Addiction, Anxiety, Autism Spectrum, Bipolar Disorder, Depression, Eating Disorders, OCD, PTSD/Trauma, Stress Management",,Unknown,,,,Unknown,,Unknown,,,,,,,al videos](https://neurotherapeutixnyc.com/mental-health-education-videos/); MS therapy works](https://neurotherapeutixnyc.com/how-it-works/); MS Therapy Cost & Payment Options in NYC](https://neurotherapeutixnyc.com/payment-insurance-information,,4.7,43,2026-02-18,outscraper,enriched_basic
"Dr. Marion C. Eakin, MD",dr-marion-c-eakin-md-new-york-ny,publish,gd_place,Therapist,"Dr. Marion C. Eakin, MD (MD/Psychiatrist) in New York, NY.","423 E 23Rd St #11-M, New York, Ny 10010",New York,NY,10010,US,40.7367447,-73.9772634,(212) 686-7500,,http://www.nyharbor.va.gov,,423 E 23rd St #11-M,MD/Psychiatrist,,NY,,,,Unknown,67.0,67.0,,Unknown,,Unknown,,,,,,,ms are deeply experienced and guided by the needs of Veterans,,5.0,1,2026-02-18,outscraper,enriched_basic
Sadock Virginia MD,sadock-virginia-md-new-york-ny,publish,gd_place,Therapist,"Sadock Virginia MD (MD/Psychiatrist) in New York, NY.","4 E 89Th St # 1E, New York, Ny 10128",New York,NY,10128,US,40.7830746,-73.9584608,(212) 427-0885,,,,4 E 89th St # 1E,MD/Psychiatrist,,NY,,,,,,,,,,,,,,,,,,,,0,2026-02-18,outscraper,cleaned
Virginia South Psychiatric Services: Ross Cindy MD,virginia-south-psychiatric-services-ross-cindy-md-hopewell-va,publish,gd_place,Therapist,"Virginia South Psychiatric Services: Ross Cindy MD (MD/Psychiatrist) in Hopewell, VA. Specializes in Addiction, Child/Adolescent, Family.","207 N 4Th Ave, Hopewell, VA 23860",Hopewell,VA,23860,US,37.3031642,-77.29070159999999,(804) 541-0918,,https://vasouth.com,,207 N 4th Ave,MD/Psychiatrist,,VA,,"Addiction, Child/Adolescent, Family",,Unknown,,,,Unknown,,Unknown,,,,,,,,,5.0,2,2026-02-18,outscraper,enriched_basic
SynergyMDPsychiatry,synergymdpsychiatry-fort-lee-nj,publish,gd_place,Therapist,"SynergyMDPsychiatry (MD/Psychiatrist) in Fort Lee, NJ. Specializes in Anxiety, Bipolar Disorder, Depression, OCD, PTSD/Trauma.","1 Brg Plz N Suite 275, Fort Lee, Nj 07024",Fort Lee,NJ,07024,US,40.8554535,-73.9647286,(201) 500-5230,,http://www.synergymdpsychiatry.com,,1 Brg Plz N Suite 275,MD/Psychiatrist,,NJ,,"Anxiety, Bipolar Disorder, Depression, OCD, PTSD/Trauma, Sleep Issues",,Unknown,,,,Unknown,,Unknown,,,,,,,"MD
Leena Rajagopal; MD is a board certified general adult and forensic psychiatrist. She has experience in treating patient; ms and issues require medications. Many situations are better handled",,5.0,1,2026-02-18,outscraper,enriched_basic
McLean Neuropsychiatric Treatment Center,mclean-neuropsychiatric-treatment-center-mclean-va,publish,gd_place,Therapist,"McLean Neuropsychiatric Treatment Center (MD/Psychiatrist) in McLean, VA. Specializes in Addiction, Anxiety, Depression, Self-Harm, Stress Management. Accepts Aetna, Anthem, BlueCross BlueShield and 5 more.","6849 Old Dominion Dr Suite #315, Mclean, VA 22101",McLean,VA,22101,US,38.9353195,-77.1821918,(571) 378-1398,,http://mcleanntc.com,,6849 Old Dominion Dr Suite #315,MD/Psychiatrist,,VA,,"Addiction, Anxiety, Depression, Self-Harm, Stress Management","Aetna, Anthem, BlueCross BlueShield, CareFirst, Cigna, Medicaid, Medicare, UnitedHealthcare",Unknown,,,,Unknown,,Unknown,,,,,,,MS uses pulsing magnetic fields to stimulate targeted areas of the brain to alleviate depressive sympto; ms. Esketamine; MS Treatment | Esketamine Treatment](https://mcleanntc.com/wp-content/uploads/2021/07/Optum-300x111.png,,4.5,40,2026-02-18,outscraper,enriched_full
